epoch,train_loss,val_loss
1,37.77679487944149,18.576792671566917
2,15.574621046614098,17.185620716639928
3,15.253517702690461,16.716649555024645
4,15.465521732466275,16.40814040956043
5,15.789887554240677,15.938124247959681
6,15.474774746524963,15.287933304196311
7,15.390609597260097,14.568337667556037
8,15.467509463648126,14.245091529119582
9,15.787055713325676,14.121164503551665
10,16.19525999393103,14.146422976539249
11,16.647849524795884,14.155684471130371
12,17.206792443553358,14.413693337213425
13,17.812234650617874,13.994525137401762
14,18.01159039783278,13.52036462511335
15,18.270392843762284,13.470126288277763
16,18.722729233075988,13.24803402310326
17,19.10283246630143,13.40411762964158
18,19.5927167488594,13.476113137744722
19,20.11109915919274,13.149063814254035
20,20.362728674706673,12.516362144833518
21,19.86414339357452,10.89905529930478
22,19.886686321074606,11.265082382020497
23,20.29041918468675,10.44531604221889
24,20.60164883851505,10.299505324590774
25,21.01100500574652,10.458092485155378
26,21.438635180331374,10.182255517868768
27,21.919732915530414,10.33820324852353
28,22.336573082945883,10.252053760346913
29,22.686191246944404,10.15618492308117
30,23.108715129348468,10.0175427709307
